sku,margen_anual,pct_acumulado,clase_abc
ZW-TEE-001,411000.0,24.71,A
ZW-DEN-001,369000.0,46.9,A
ZW-SAS-002,223650.0,60.35,A
ZW-TEE-002,150600.0,69.4,A
ZW-VES-002,118500.0,76.53,A
ZW-DEN-002,43600.0,79.15,A
ZW-ACC-004,40600.0,81.59,B
ZW-VES-001,39525.0,83.96,B
ZW-ACC-001,33150.0,85.96,B
ZW-SAS-001,26285.0,87.54,B
ZW-TEE-003,26250.0,89.12,B
ZW-VES-003,25720.0,90.66,B
ZW-CAZ-002,25470.0,92.19,B
ZW-CAZ-001,25245.0,93.71,B
ZW-PUN-001,24975.0,95.21,C
ZW-ACC-002,20700.0,96.46,C
ZW-ACC-003,19100.0,97.61,C
ZW-PUN-002,16680.0,98.61,C
ZW-DEN-003,14050.0,99.45,C
ZW-SAS-003,9075.0,100.0,C
